﻿編號,行政區,機構類別,合約醫療院所名稱,連絡電話,地址
1,北屯區四民,衛生所,臺中市北屯區四民衛生所,(04)24211945,臺中市北屯區后庄路1062號
2,北屯區四民,合約醫療院所,張廣智耳鼻喉科診所,(04)22924703,臺中市北屯區中清路二段531號
3,北屯區四民,合約醫療院所,曾耳鼻喉科診所,(04)22956969,臺中市北屯區中清路二段326號
4,北屯區四民,合約醫療院所,吉祥耳鼻喉科診所,(04)22467388,臺中市北屯區崇德路二段461號
5,北屯區四民,合約醫療院所,王秉菴小兒科診所,(04)22427966,臺中市北屯區崇德路二段297號
6,北屯區四民,合約醫療院所,蘇益寬小兒科診所,(04)22956686,臺中市北屯區大連路一段4號
7,北屯區四民,合約醫療院所,符乾龍小兒科診所,(04)22959123,臺中市北屯區大鵬路64號
8,北屯區四民,合約醫療院所,莊雅旭小兒科診所,(04)22411723,臺中市北屯區松竹路二段155號
9,北屯區四民,合約醫療院所,王佑賢小兒科診所,(04)22474792,臺中市北屯區興安路二段419號
10,北屯區四民,合約醫療院所,劉昌興小兒科診所,(04)24221656,臺中市北屯區四平路352號
11,北屯區四民,合約醫療院所,劉錦理小兒科診所,(04)24227074,臺中市北屯區后庄路1102號
12,北屯區四民,合約醫療院所,王榮森小兒科診所,(04)22451674,臺中市北屯區昌平路二段11-9號
13,北屯區四民,合約醫療院所,惠幼診所,(04)22919222,臺中市北屯區中清路二段490號
14,北屯區四民,合約醫療院所,小蘋果小兒科診所,(04)22951800,臺中市北屯區山西路二段264號
15,北屯區四民,合約醫療院所,林子巡診所,(04)22413636,臺中市北屯區松竹路二段667號
16,北屯區四民,合約醫療院所,萊恩耳鼻喉科診所,(04)22466000,臺中市北屯區崇德路二段205號
17,北屯區四民,合約醫療院所,明陽診所,(04)24227333,臺中市北屯區昌平路二段46號
18,北屯區四民,合約醫療院所,翔霖診所,(04)22410725,臺中市北屯區崇德路二段452號
19,北屯區四民,合約醫療院所,駿朋診所,(04)22951778,臺中市北屯區中清路二段616號
20,北屯區四民,合約醫療院所,永新診所,(04)22467799,臺中市北屯區松竹路二段159號
21,北屯區四民,合約醫療院所,韓勝通耳鼻喉科診所,(04)22936889,臺中市北屯區中清路二段716號
22,北屯區四民,合約醫療院所,見安診所,(04)24228183,臺中市北屯區北屯區四平路451號
23,北屯區四民,合約醫療院所,文彥診所,(04)22425892,臺中市北屯區昌平路二段8-20號
24,北屯區四民,合約醫療院所,元亨診所,(04)22413959,臺中市北屯區松竹路二段303號
25,北屯區四民,合約醫療院所,芊翔耳鼻喉科診所,(04)22478003,臺中市北屯區松竹路二段317號
